Song,Artist_Name_Label,Artist_Main,Artist_Others,Writer,Album,Album_Release_Year,Total_Plays_Month_6,Total_Plays_Month_7,Total_Plays_Month_8,Year_Counted
Untouchable,Taylor Swift,Taylor Swift,,"Cary Barlowe
Nathan Barlowe
Tommy Lee James
Taylor Swift[g]","Fearless
(Platinum edition)",2009,100,16,102,2024
The Way I Loved You,Taylor Swift,Taylor Swift,,"Taylor Swift
John Rich",Fearless,2008,107,69,53,2024
We Are Never Ever Getting Back Together,Taylor Swift,Taylor Swift,,"Taylor Swift
Max Martin
Shellback",Red,2012,99,17,46,2024
Welcome to New York,Taylor Swift,Taylor Swift,,"Taylor Swift
Ryan Tedder",1989,2014,78,36,64,2024
White Christmas (cover),Taylor Swift,Taylor Swift,,Irving Berlin,Sounds of the Season,2007,93,41,17,2024
White Horse,Taylor Swift,Taylor Swift,,"Taylor Swift
Liz Rose",Fearless,2008,100,51,64,2024
Wildest Dreams,Taylor Swift,Taylor Swift,,"Taylor Swift
Max Martin
Shellback",1989,2014,42,29,38,2024
Wonderland,Taylor Swift,Taylor Swift,,"Taylor Swift
Max Martin
Shellback","1989
(Deluxe edition)",2014,19,30,59,2024
You Are in Love,Taylor Swift,Taylor Swift,,"Taylor Swift
Jack Antonoff","1989
(Deluxe edition)",2014,78,29,82,2024
You Belong with Me,Taylor Swift,Taylor Swift,,"Taylor Swift
Liz Rose",Fearless,2008,101,69,6,2024
You Need to Calm Down,Taylor Swift,Taylor Swift,,"Taylor Swift
Joel Little",Lover,2019,77,104,5,2024
You're Not Sorry,Taylor Swift,Taylor Swift,,Taylor Swift,Fearless,2008,88,107,30,2024
